20:17:30:111 [ALWAYS]	GUDE Logging Started
20:17:30:112 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
20:17:30:112 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
20:17:30:112 [ERROR]	Initialize resume cache pointer failure
20:17:30:112 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
20:17:30:112 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
20:17:37:532 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
20:17:37:533 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
20:17:37:533 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
20:17:37:533 [ERROR]	Initialize resume cache pointer failure
20:17:37:533 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
20:17:37:533 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
